,ROUTE_NUMBER,ROUTE_NAME,DIRECTION_NAME,DIRECTION_NAME_ALT,SERVICE_CODE,SERVICE_TYPE,SERVICE_CLASS,SERVICE_MODE,SORT_ORDER,STOP_ID,STOP,TRAVEL_DIRECTION,TIMEPOINT,CITY,COUNTY,TAZ,CENSUS_TRACT,AVG_DWELL_TIME,AVG_SEGMENT_MILES,AVG_PASSENGER_MILES,AVG_PASSENGERS_ON,AVG_PASSENGERS_OFF,AVG_VEHICLE_SEATS,AVG_LOAD,MAX_LOAD,MAX_LOAD_P,AVG_WHEELCHAIR,AVG_BICYCLE,AVG_KNEEL,AVG_SERVICED,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,SUM_VEHICLE_SEATS,SUM_LOAD,SUM_PASSENGER_MILES,SUM_WHEELCHAIR,SUM_FON,SUM_FOFF,SUM_RON,SUM_ROFF,SUM_BICYCLE,SUM_KNEEL,AVG_LOAD_P,TRIPS_EARLY,TRIPS_LATE,TRIPS_ONTIME,Latitude,Longitude_x,SUM_TRAFFIC_PRIORITY,LAT_ACTUAL,LON_ACTUAL,LOAD_DURATION_ALT,LOAD_DURATION,ONTIME,STOP_KEY,TRIPS_COUNT,TRIPS_GROSS,ACTUAL_DIST,stop_id,stop_code,stop_name,Longitude_y
297,10.9,Route #10G 58:10G,INBOUND,,Route #10,,,Bus,490,369,CHAMBERLAIN/CAMDEN,S,0,,,,,0.01477272727,0.1255776,0.20834895350000002,0,0,30.0,2,8,0.25,0,0,0,0.07200000000000001,8,2,2940.0,259,32.5245984,0,8,2,0,0,0,0,8.0,0.0,0.0,0.0,35.05304,-85.25582299999999,0,35.05303559,-85.25582309,0.0,0.0,0.0,,97,97,2.0,369,369,CHAMBERLAIN + CAMDEN,-85.25582
298,19.0,Route #19,INBOUND,,Route #19,,,Bus,580,369,CHAMBERLAIN/CAMDEN,S,0,,,,,0.01789473684,0.1255776,0.21458333329999998,0,0,30.0,2,7,0.23333333329999997,0,0,0,0.05,1,0,600.0,55,6.906768,0,1,0,0,0,0,0,9.0,0.0,0.0,0.0,35.05304,-85.25582299999999,0,35.05303553,-85.25582063,0.0,0.0,0.0,,20,20,2.0,369,369,CHAMBERLAIN + CAMDEN,-85.25582
299,10.9,Route #10G 58:10G,INBOUND,,Route #10,,,Bus,550,1395,CHAMBERLAIN/WILSON,S,0,,,,,0.07712643677999999,0.7165848000000001,1.242055423,0,0,30.0,2,9,0.28125,0,0,0,0.315,30,19,2880.0,265,189.894972,0,30,13,0,4,0,0,9.0,0.0,0.0,0.0,35.04956,-85.25773000000001,0,35.04958391,-85.25772109,0.0,0.0,0.0,,95,95,9.0,1395,1395,CHAMBERLAIN + WILSON,-85.25773000000001
300,10.9,Route #10G 58:10G,INBOUND,,Route #10,,,Bus,620,379,GLENWOOD/4TH,S,0,,,,,0.018000000000000002,0.10119360000000001,0.1990081225,0,0,30.0,3,8,0.25,0,0,0,0.01,2,0,2940.0,307,31.0664352,2,2,0,0,0,0,0,10.0,0.0,0.0,0.0,35.0362,-85.261545,0,35.03620003,-85.261543,0.0,0.0,0.0,,97,97,1.0,379,379,GLENWOOD + 4TH,-85.26155
301,10.9,Route #10G 58:10G,INBOUND,,Route #10,,,Bus,690,386,UNION/WATKINS,W,0,,,,,0.0,0.15483840000000001,0.2757419556,0,0,30.0,2,8,0.25,0,0,0,0.0,0,0,2940.0,278,43.04507520000001,0,0,0,0,0,0,0,9.0,0.0,0.0,0.0,35.02987,-85.268952,0,35.029869,-85.268951,0.0,0.0,0.0,,97,97,0.0,386,386,UNION + WATKINS,-85.26895
302,10.9,Route #10G 58:10G,INBOUND,,Route #10,,,Bus,770,1391,WILLOW/MCCALLIE,N,0,,,,,0.1027835052,0.10363199999999999,0.17127460170000003,0,0,30.0,2,8,0.25,0,0,0,0.14400000000000002,9,14,2940.0,258,26.737056,0,9,11,0,3,0,0,8.0,0.0,0.0,0.0,35.03467,-85.271893,0,35.03467247,-85.27190007,0.0,0.0,0.0,,97,97,2.0,1391,1391,WILLOW + MCCALLIE,-85.27189
303,10.9,Route #10G 58:10G,INBOUND,,Route #10,,,Bus,820,397,3RD/WILLOW,N,0,,,,,0.0624742268,0.19068225149999998,0.3193123243,0,0,30.0,2,9,0.28125,0,0,0,0.113,7,6,2940.0,261,49.846687200000005,0,7,8,0,0,0,0,8.0,0.0,0.0,0.0,35.03918,-85.26954,0,35.03919585,-85.26953459999999,0.0,0.0,0.0,,97,97,6.0,397,397,3RD + WILLOW,-85.26954
304,13.0,Route #13,INBOUND,,Route #13,,,Bus,90,1255,ROSSVILLE BLVD/46TH,N,0,,,,,0.00375,0.1024128,0.2211363636,0,0,30.0,3,9,0.3,0,0,0,0.025,0,1,1200.0,139,14.235379199999999,0,0,0,0,1,0,0,11.0,0.0,0.0,0.0,34.99046,-85.289902,0,34.990463399999996,-85.28990390000001,0.0,0.0,0.0,,40,40,1.0,1255,1255,ROSSVILLE BLVD + 46TH,-85.2899
305,13.0,Route #13,INBOUND,,Route #13,,,Bus,100,1256,ROSSVILLE BLVD/45TH,N,0,,,,,0.006999999999999999,0.0984504,0.2141098485,0,0,30.0,3,9,0.3,0,0,0,0.025,1,0,1200.0,140,13.783056,0,1,0,0,0,0,0,11.0,0.0,0.0,0.0,34.99137,-85.290077,0,34.99137453,-85.29007853,0.0,0.0,0.0,,40,40,2.0,1256,1256,ROSSVILLE BLVD + 45TH,-85.29008
306,13.0,Route #13,INBOUND,,Route #13,,,Bus,250,1271,4TH AVE/32RD,N,0,,,,,0.003,0.13959839999999998,0.3556439394,0,0,30.0,4,11,0.36666666670000003,0,0,0,0.125,8,4,1200.0,164,22.8941376,0,8,4,0,0,0,0,13.0,0.0,0.0,0.0,35.00658,-85.285625,0,35.00658183,-85.28562218,0.0,0.0,0.0,,40,40,1.0,1271,1271,4TH AVE + 32RD,-85.28563
307,13.0,Route #13,INBOUND,,Route #13,,,Bus,270,1273,4TH AVE/30TH,N,0,,,,,0.0,0.1085088,0.2747537879,0,0,30.0,4,11,0.36666666670000003,0,0,0,0.0,0,0,1200.0,163,17.6869344,0,0,0,0,0,0,0,13.0,0.0,0.0,0.0,35.00873,-85.284513,0,35.008732,-85.284515,0.0,0.0,0.0,,40,40,1.0,1273,1273,4TH AVE + 30TH,-85.28451
308,13.0,Route #13,INBOUND,,Route #13,,,Bus,480,1289,ROSSVILLE BLVD/DORRIS,N,0,,,,,0.0,0.10363199999999999,0.3960227273,0,0,30.0,6,15,0.5,0,0,0,0.0,0,0,1200.0,246,25.493472,0,0,0,0,0,0,0,20.0,0.0,0.0,0.0,35.02528,-85.298468,0,35.02528,-85.29847,0.0,0.0,0.0,,40,40,1.0,1289,1289,ROSSVILLE BLVD + DORRIS,-85.29847
309,13.0,Route #13,INBOUND,,Route #13,,,Bus,510,1292,CENTRAL/17TH,N,0,,,,,0.0,0.21061679999999997,0.8015861742,0,0,30.0,6,15,0.5,0,0,0,0.025,0,1,1200.0,245,51.601116,0,0,1,0,0,0,0,20.0,0.0,0.0,0.0,35.03004,-85.297292,0,35.030041,-85.29729499999999,0.0,0.0,0.0,,40,40,1.0,1292,1292,CENTRAL + 17TH,-85.29729
310,13.0,Route #13,INBOUND,,Route #13,,,Bus,550,1299,10TH/FAIRVIEW,W,0,,,,,0.0075,0.118872,0.446875,0,0,30.0,6,15,0.5,0,0,0,0.05,1,1,1200.0,242,28.767024,0,1,1,0,0,0,0,20.0,0.0,0.0,0.0,35.03926,-85.294128,0,35.03926138,-85.29412953,0.0,0.0,0.0,,40,40,1.0,1299,1299,10TH + FAIRVIEW,-85.29413000000001
311,13.0,Route #13,INBOUND,,Route #13,,,Bus,620,1305,10TH/DOUGLAS,N,0,,,,,0.0,0.2036064,0.7053219696999999,0,0,30.0,5,14,0.4666666667,0,0,0,0.3,7,36,1200.0,223,45.40422720000001,4,5,17,2,19,0,0,18.0,0.0,0.0,0.0,35.042629999999996,-85.303285,0,35.042629,-85.30328399999999,0.0,0.0,0.0,,40,40,0.0,1305,1305,10TH + DOUGLAS,-85.30329
312,13.0,Route #13,INBOUND,,Route #13,,,Bus,630,1307,10TH/KING,W,0,,,,,,0.07254239999999999,0.2512973485,0,0,30.0,5,14,0.4666666667,0,0,0,0.0,0,0,1200.0,223,16.1769552,0,0,0,0,0,0,0,18.0,0.0,0.0,0.0,35.04338,-85.30530300000001,0,,,0.0,0.0,0.0,,40,40,,758,758,BOYNTON + RENAISSANCE,-85.31916
313,13.0,Route #13,INBOUND,,Route #13,,,Bus,630,1307,10TH/KING,W,0,,,,,,0.07254239999999999,0.2512973485,0,0,30.0,5,14,0.4666666667,0,0,0,0.0,0,0,1200.0,223,16.1769552,0,0,0,0,0,0,0,18.0,0.0,0.0,0.0,35.04338,-85.30530300000001,0,,,0.0,0.0,0.0,,40,40,,1307,1307,10TH + KING,-85.3053
314,21.0,Route #21,INBOUND,,Route #21,,,Bus,40,758,BOYNTON/RENAISSANCE,E,0,,,,,0.02775280899,0.0886968,0.2425,0,0,31.0,4,20,0.625,0,0,0,0.08800000000000001,9,4,2836.0,396,35.1239328,0,9,2,0,2,0,0,13.0,0.0,0.0,0.0,35.04338,-85.319163,0,35.04337956,-85.31916131,0.0,0.0,0.0,,90,90,1.0,758,758,BOYNTON + RENAISSANCE,-85.31916
315,21.0,Route #21,INBOUND,,Route #21,,,Bus,40,758,BOYNTON/RENAISSANCE,E,0,,,,,0.02775280899,0.0886968,0.2425,0,0,31.0,4,20,0.625,0,0,0,0.08800000000000001,9,4,2836.0,396,35.1239328,0,9,2,0,2,0,0,13.0,0.0,0.0,0.0,35.04338,-85.319163,0,35.04337956,-85.31916131,0.0,0.0,0.0,,90,90,1.0,1307,1307,10TH + KING,-85.3053
316,13.0,Route #13,OUTBOUND,,Route #13,,,Bus,190,1195,11TH/LINDSAY,E,0,,,,,0.01025,0.0740664,0.3143015521,0,0,30.0,6,17,0.5666666667,0,0,0,0.073,3,0,1230.0,280,20.738592,0,3,0,0,0,0,0,22.0,0.0,0.0,0.0,35.0435,-85.308037,0,35.04349558,-85.30804405,0.0,0.0,0.0,,41,41,3.0,1195,1195,11TH + LINDSAY,-85.30804
317,13.0,Route #13,OUTBOUND,,Route #13,,,Bus,450,1398,23RD/ORCHARD KNOB,E,0,,,,,0.0095,0.1039368,0.3701727642,0,0,30.0,5,18,0.6,0,0,0,0.146,2,11,1230.0,235,24.425148,0,1,2,1,5,0,0,19.0,0.0,0.0,0.0,35.01938,-85.28371800000001,0,35.01937908,-85.28371515,0.0,0.0,0.0,,41,41,1.0,1398,1398,23RD + ORCHARD KNOB,-85.28372
318,13.0,Route #13,OUTBOUND,,Route #13,,,Bus,570,1231,4TH/33RD,S,0,,,,,0.0075,0.0947928,0.24422579449999998,0,0,30.0,4,9,0.3,0,0,0,0.024,0,2,1230.0,170,16.114776000000003,0,0,1,0,1,0,0,13.0,0.0,0.0,0.0,35.00565,-85.286437,0,35.0056704,-85.28642370000001,0.0,0.0,0.0,,41,41,8.0,1231,1231,4TH + 33RD,-85.28644
