ROUTE_NUMBER,ROUTE_NAME,DIRECTION_NAME,DIRECTION_NAME_ALT,SERVICE_CODE,SERVICE_TYPE,SERVICE_CLASS,SERVICE_MODE,SORT_ORDER,STOP_ID,STOP,TRAVEL_DIRECTION,TIMEPOINT,CITY,COUNTY,TAZ,CENSUS_TRACT,AVG_DWELL_TIME,AVG_SEGMENT_MILES,AVG_PASSENGER_MILES,AVG_PASSENGERS_ON,AVG_PASSENGERS_OFF,AVG_VEHICLE_SEATS,AVG_LOAD,MAX_LOAD,MAX_LOAD_P,AVG_WHEELCHAIR,AVG_BICYCLE,AVG_KNEEL,AVG_SERVICED,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,SUM_VEHICLE_SEATS,SUM_LOAD,SUM_PASSENGER_MILES,SUM_WHEELCHAIR,SUM_FON,SUM_FOFF,SUM_RON,SUM_ROFF,SUM_BICYCLE,SUM_KNEEL,AVG_LOAD_P,TRIPS_EARLY,TRIPS_LATE,TRIPS_ONTIME,Latitude,Longitude,SUM_TRAFFIC_PRIORITY,LAT_ACTUAL,LON_ACTUAL,LOAD_DURATION_ALT,LOAD_DURATION,ONTIME,STOP_KEY,TRIPS_COUNT,TRIPS_GROSS,ACTUAL_DIST
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,280,103,CENTRAL/41ST,N,0,,,,,0.003032258065,0.1840992,0.4326437451,0,0,30,3,12,0.375,0,0,0,0.019,1,2,4720,590,108.618528,0,1,0,0,2,0,0,12,0,0,0,35.003795,-85.311487,0,35.00379828,-85.31148225,0,0,0,,156,156,2
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,290,104,CENTRAL/38TH,E,0,,,,,0.1460645161,0.1027176,0.2606218434,0,0,30,4,13,0.40625,0,0,0,0.288,57,10,4720,637,65.4311112,1,57,5,0,4,0,0,13,0,0,0,35.005313,-85.310675,0,35.00522792,-85.3107339,0,0,0,,156,156,36
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,300,105,38TH/HUGHES,W,0,,,,,0.03619354839,0.225044,0.6481157731,0,0,30,4,14,0.4375,0,0,0,0.416,100,21,4720,716,162.714432,2,100,15,0,8,0,0,15,0,0,0,35.005842,-85.311438,0,35.00584155,-85.31144247,0,0,0,,156,156,1
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,310,106,38TH/KIRKLAND,W,0,,,,,0.01583333333,0.1152144,0.2533216783,0,0,30,3,8,0.25,0,0,0,0.153,1,1,392,46,5.2998624,0,1,0,0,1,0,0,11,0,0,0,35.006287,-85.312615,0,35.00630792,-85.31268908,0,0,0,,13,13,23
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,320,100149,38thHig1,X,-1,,,,,0.1688387097,,,0,0,30,4,14,0.4375,0,0,0,0,0,0,4720,716,,0,0,0,0,0,0,0,15,,,,35.00672,-85.3138,0,35.00709651,-85.31480885,0,0,,,156,156,331
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,330,107,38TH/HIGHLAND,W,0,,,,,0.002064516129,0.0743712,0.2123980186,0,0,30,4,14,0.4375,0,0,0,0.006,1,0,4720,717,53.3241504,0,1,0,0,0,0,0,15,0,0,0,35.006708,-85.313758,0,35.00670615,-85.31375919,0,0,0,,156,156,1
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,340,108,38TH/CHANDLER PLACE,W,0,,,,,0.003290322581,0.172212,0.4945670649,0,0,30,4,14,0.4375,0,0,0,0.025,4,0,4720,721,124.164852,0,4,0,0,0,0,0,15,0,0,0,35.006985,-85.31449,0,35.00698479,-85.31449169,0,0,0,,156,156,1
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,350,109,38TH/OHLS,W,0,,,,,0,0.147828,0.4263063326,0,0,30,4,14,0.4375,0,0,0,0.019,3,0,4720,724,107.027472,0,3,0,0,0,0,0,15,0,0,0,35.007617,-85.316223,0,35.007618,-85.316223,0,0,0,,156,156,0
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,360,110,38TH/ALTON PK BLVD,W,0,,,,,0.02380645161,0.13716,0.4015515734,0,0,30,4,14,0.4375,0,0,0,0.07,12,1,4720,735,100.8126,0,12,1,0,0,0,0,15,0,0,0,35.008178,-85.317668,0,35.00817968,-85.31766901,0,0,0,,156,156,1
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,370,111,37TH/ALTON PARK BLVD,N,0,,,,,0,0.1682496,0.488548951,0,0,30,4,14,0.4375,0,0,0,0.012,1,7,4720,729,122.6539584,0,1,5,0,2,0,0,15,0,0,0,35.009267,-85.317303,0,35.009266,-85.317307,0,0,0,,156,156,1
